Type,Name,Category,Location,Price_Range_INR,Entry_Fee_INR,Best_Time_Duration,Operating_Hours,Specialty_Description,Rating,Contact,Payment_Methods
Tourist_Spot,Marina Beach,Beach,Marina,Free,Free,Evening 2-3 hours,24 hours,Second longest urban beach in the world,4.2,N/A,N/A
Tourist_Spot,Kapaleeshwarar Temple,Religious Site,Mylapore,Free,Free,Daily 1-2 hours,5:30AM-12PM 4PM-9PM,Ancient Shiva temple Dravidian architecture,4.4,044-2464-1670,Cash
Tourist_Spot,Fort St. George,Historical Monument,George Town,15-250,15 (Indian) 250 (Foreign),Daily 2-3 hours,10AM-5PM,First British fortress in India museum,4.1,044-2567-1127,Cash Card
Tourist_Spot,Government Museum,Museum,Egmore,15-250,15 (Indian) 250 (Foreign),Daily 2-3 hours,9:30AM-5PM,Bronze gallery archaeology collection,4.2,044-2819-3238,Cash Card
Tourist_Spot,San Thome Cathedral,Religious Site,Mylapore,Free,Free,Daily 1 hour,6AM-8PM,Built over St Thomas tomb neo-Gothic style,4.3,044-2498-0232,N/A
Tourist_Spot,Mahabalipuram,Historical Site,Mahabalipuram,40-600,40 (Indian) 600 (Foreign),Full day 4-6 hours,6AM-6PM,UNESCO World Heritage rock-cut temples,4.5,044-2744-2226,Cash Card
Tourist_Spot,Vadapalani Temple,Religious Site,Vadapalani,Free,Free,Daily 1-2 hours,4:30AM-12PM 4PM-9:30PM,Famous Murugan temple modern architecture,4.3,044-2485-1728,Cash
Tourist_Spot,Birla Planetarium,Science Center,Periyamet,25-50,25 (Adult) 15 (Child),Daily 1-2 hours,10:15AM-7:45PM,Space shows astronomy exhibits,4.1,044-2819-4652,Cash Card
Tourist_Spot,Chennai Rail Museum,Museum,Perambur,20-50,20 (Adult) 10 (Child),Daily 1-2 hours,10AM-5PM,Vintage trains railway heritage,4.0,044-2663-4816,Cash
Tourist_Spot,Guindy National Park,Nature Park,Guindy,15-100,15 (Adult) 5 (Child),Daily 2-3 hours,9AM-5:30PM,Urban national park snake park,4.1,044-2235-2024,Cash
Shopping_Spot,Express Avenue,Shopping Mall,Royapettah,1000-8000,Free entry,Daily,10AM-10PM,Largest mall in South India branded goods,4.3,044-4224-4000,Card Cash UPI
Shopping_Spot,Phoenix MarketCity,Shopping Mall,Velachery,1200-10000,Free entry,Daily,10AM-10PM,Premium brands entertainment dining,4.4,044-4747-4747,Card Cash UPI
Shopping_Spot,T. Nagar,Shopping District,T. Nagar,200-5000,Free entry,Daily,10AM-9PM,Sarees jewelry traditional wear,4.1,N/A,Cash Card UPI
Shopping_Spot,Pondy Bazaar,Market,T. Nagar,150-2000,Free entry,Daily,10AM-9PM,Clothes accessories cosmetics,4.0,N/A,Cash UPI
