Type,Name,Category,Location,Price_Range_INR,Entry_Fee_INR,Best_Time_Duration,Operating_Hours,Specialty_Description,Rating,Contact,Payment_Methods
Tourist_Spot,Red Fort,Historical Monument,Old Delhi,35-500,35 (Indian) 500 (Foreign),Oct-Mar 2-3 hours,9AM-6PM,UNESCO World Heritage Site Mughal architecture,4.3,011-2327-7705,Cash Card
Tourist_Spot,India Gate,Memorial,Central Delhi,Free,Free,Evening/Night 1-2 hours,24 hours,War memorial and popular picnic spot,4.4,N/A,N/A
Tourist_Spot,Qutub Minar,Historical Monument,Mehrauli,30-500,30 (Indian) 500 (Foreign),Oct-Mar 2-3 hours,Sunrise-Sunset,UNESCO World Heritage tallest brick minaret,4.4,011-2664-9362,Cash Card
Tourist_Spot,Humayun's Tomb,Historical Monument,Nizamuddin,30-500,30 (Indian) 500 (Foreign),Oct-Mar 2-3 hours,6AM-6PM,UNESCO World Heritage Mughal tomb,4.4,011-2435-5275,Cash Card
Tourist_Spot,Lotus Temple,Religious Site,Kalkaji,Free,Free,Tue-Sun 1-2 hours,9AM-7PM,Bahai House of Worship unique architecture,4.4,011-2644-4029,N/A
Tourist_Spot,Akshardham Temple,Religious Site,East Delhi,Free,Free (exhibitions extra),Tue-Sun 3-4 hours,9:30AM-6:30PM,Modern Hindu temple complex,4.5,011-4302-4344,Cash Card
Tourist_Spot,Jama Masjid,Religious Site,Old Delhi,Free,Free,Daily 1-2 hours,7AM-12PM 1:30PM-6:30PM,Largest mosque in India,4.3,011-2327-0456,N/A
Tourist_Spot,Rajghat,Memorial,Central Delhi,Free,Free,Daily 1 hour,7AM-7PM (Summer) 7AM-5:30PM (Winter),Mahatma Gandhi memorial,4.2,011-2331-1071,N/A
Tourist_Spot,National Museum,Museum,Central Delhi,20-650,20 (Indian) 650 (Foreign),Tue-Sun 2-3 hours,10AM-6PM,India's largest museum,4.2,011-2301-9272,Cash Card
Tourist_Spot,Chandni Chowk,Market/Historical,Old Delhi,Free,Free,Daily 2-4 hours,10AM-9PM,Historic market area street food hub,4.1,N/A,Cash UPI
Shopping_Spot,Connaught Place,Shopping Mall,Central Delhi,1000-5000,Free entry,Daily,10AM-10PM,Branded goods restaurants,4.2,N/A,Card Cash UPI
Shopping_Spot,Karol Bagh,Market,Central Delhi,500-2000,Free entry,Daily,10AM-9PM,Electronics clothes shoes,4.0,N/A,Cash UPI
Shopping_Spot,Lajpat Nagar,Market,South Delhi,200-1000,Free entry,Daily,10AM-9PM,Clothes accessories,4.1,N/A,Cash UPI
Shopping_Spot,Sarojini Nagar,Market,South Delhi,100-800,Free entry,Daily,10AM-8PM,Export surplus clothes,4.0,N/A,Cash
Shopping_Spot,Khan Market,Market,Central Delhi,800-3000,Free entry,Daily,10AM-8PM,Books branded goods cafes,4.3,N/A,Card Cash UPI
Shopping_Spot,Select City Walk,Shopping Mall,Saket,1000-5000,Free entry,Daily,10AM-10PM,Branded goods entertainment,4.4,011-4717-8888,Card Cash UPI
Shopping_Spot,DLF Mall of India,Shopping Mall,Noida,1200-6000,Free entry,Daily,10AM-10PM,International brands,4.3,0120-478-8888,Card Cash UPI
Shopping_Spot,Dilli Haat,Handicraft Market,Multiple locations,300-1500,30 entry fee,Daily,10:30AM-10PM,Handicrafts ethnic wear,4.2,011-2611-9055,Cash Card
